uid,paymentType,Payment
hclau,type1,400
hclau,type2,200
bkhtq,type2,200
rxxdh,type2,200
qxjhx,type1,400
qxjhx,type2,200
ymmyy,type2,200
wfhra,type2,200
kfcpa,type1,400
lrvfv,type2,200
clxmt,type2,200
cvmcn,type2,200
atxnw,type1,400
atxnw,type2,200
puifn,type1,400
rsouu,type2,200
tbjxj,type1,400
kqfhb,type2,200
njsis,type2,200
gyvui,type2,200
cxgxu,type1,400
ecoll,type1,400
ecoll,type2,200
argmc,type1,400
jjcbp,type2,200
tstvl,type2,200
utwxc,type1,400
ybebb,type2,200
tfdbx,type2,200
pdolg,type2,200
iqfyu,type2,200
edyld,type2,200
uelxo,type1,400
uelxo,type2,200
jylxj,type2,200
mxnlv,type2,200
hddys,type1,400
jjdkw,type1,400
eyirq,type2,200
naonf,type1,400
ukksj,type1,400
ukksj,type2,200
muxnf,type1,400
dqwlg,type2,200
cjwxl,type1,400
cjwxl,type2,200
sitqj,type2,200
oanke,type2,200
hubtp,type2,200
bwfhy,type2,200
jjmjn,type2,200
sfmvu,type2,200
wmdms,type1,400
wmdms,type2,200
hotem,type1,400
hotem,type2,200
jliyn,type1,400
gfard,type2,200
wtmwr,type2,200
txjiq,type2,200
jkfcg,type2,200
scouw,type2,200
jtjho,type2,200
qkdmp,type2,200
cljxs,type1,400
qghda,type2,200
bhaqp,type1,400
ahdcr,type1,400
inejf,type2,200
ghxqy,type1,400
ghxqy,type2,200
ilpvt,type1,400
ilpvt,type2,200
tyyra,type1,400
ejmft,type1,400
gyrjp,type2,200
oqyod,type2,200
mvllw,type2,200
vkifv,type1,400
lbmcg,type1,400
jjbkt,type1,400
jjbkt,type2,200
sitnt,type1,400
rhklg,type2,200
hydgj,type2,200
bttgh,type2,200
fcqpt,type2,200
enuph,type2,200
hfmro,type2,200
iaaao,type2,200
fyjic,type1,400
fyjic,type2,200
xhuso,type1,400
lxnpe,type2,200
fosol,type2,200
dopcu,type2,200
sxouc,type1,400
pehvi,type2,200
qttpr,type2,200
ipyjp,type2,200
ltpvg,type2,200
npsfq,type2,200
qmldq,type2,200
hfpdb,type1,400
hfpdb,type2,200
gvimq,type2,200
chgik,type1,400
moqis,type2,200
xdtyx,type2,200
feiww,type2,200
vgslb,type2,200
iuugu,type2,200
hxjtv,type2,200
cvwpl,type2,200
mqtnt,type1,400
aolfa,type2,200
gcmaa,type2,200
pqvrx,type2,200
ifbvv,type1,400
qswhy,type2,200
qwrff,type2,200
umlau,type1,400
tnvvs,type1,400
tnvvs,type2,200
mknhi,type2,200
peihi,type1,400
ifsgh,type1,400
pnslp,type2,200
ryulx,type2,200
wrmcp,type2,200
ntiyd,type1,400
ihrdj,type2,200
nkmih,type2,200
kjmmj,type1,400
hjcym,type2,200
aebut,type1,400
bvbkg,type2,200
hwogl,type2,200
ppbkm,type1,400
gchnc,type2,200
eeppu,type2,200
dkltb,type1,400
dkltb,type2,200
qmwmj,type1,400
ysufl,type1,400
dkksr,type2,200
jtfnf,type2,200
avnhm,type1,400
nhpmd,type2,200
jckbi,type2,200
vfkxl,type2,200
nyaky,type1,400
nyaky,type2,200
jfiju,type1,400
jfiju,type2,200
lgwcc,type2,200
ncnfu,type1,400
ncnfu,type2,200
pfdds,type1,400
ymbkg,type2,200
tybgi,type2,200
ensns,type2,200
gywku,type1,400
gywku,type2,200
dhkpr,type2,200
eoxci,type2,200
elcow,type1,400
ysgry,type2,200
iuudf,type1,400
iuudf,type2,200
ygoxd,type1,400
ygoxd,type2,200
ofvwu,type1,400
empia,type2,200
rdgka,type2,200
pnemc,type2,200
tctsl,type2,200
rigmc,type1,400
roxwt,type1,400
roxwt,type2,200
cfkhd,type1,400
cfkhd,type2,200
bufac,type2,200
okxga,type2,200
wpmtc,type1,400
ilwjv,type1,400
kffqr,type2,200
dytja,type1,400
dytja,type2,200
dceog,type1,400
dceog,type2,200
fbcar,type1,400
taeje,type1,400
cctxf,type1,400
tlhgs,type1,400
txfpi,type1,400
txfpi,type2,200
pnrtc,type1,400
wlfkb,type1,400
alaac,type2,200
blnml,type2,200
dvysq,type2,200
kolcc,type2,200
bdkgj,type2,200
gfviu,type1,400
gfviu,type2,200
ftlho,type2,200
wtctp,type2,200
dpurp,type1,400
qujbq,type1,400
qkidc,type2,200
wwocf,type2,200
baole,type2,200
wijxp,type1,400
fqvbf,type1,400
ivvyr,type2,200
cvdnv,type2,200
lhaoe,type1,400
ovgue,type2,200
wldvi,type1,400
mxago,type1,400
dywep,type2,200
cfeqh,type1,400
xdong,type2,200
slqoe,type2,200
ohpxo,type2,200
smwom,type2,200
llmlv,type1,400
kikrb,type1,400
kikrb,type2,200
sfwih,type1,400
swquv,type2,200
fyahp,type2,200
nific,type2,200
eusxu,type2,200
osslm,type1,400
gxsri,type1,400
gxsri,type2,200
jvcob,type1,400
kfdtv,type1,400
iirwe,type1,400
aorvb,type1,400
yiijy,type2,200
akdqo,type2,200
pbdyv,type1,400
hhrnk,type2,200
tleuh,type2,200
mtnov,type1,400
odqln,type2,200
tgyem,type1,400
ocpgy,type1,400
rpuht,type2,200
eamqr,type2,200
mcnjb,type1,400
jjpmn,type1,400
rinov,type2,200
jvpqo,type2,200
lalmp,type2,200
ddnxs,type2,200
ndgvm,type1,400
cyojc,type2,200
ypxtu,type1,400
gunab,type2,200
uqgyc,type1,400
qjcgt,type1,400
dvgdw,type2,200
ilahf,type2,200
rgemy,type2,200
wqmov,type2,200
fpglh,type2,200
jdnww,type2,200
kslrw,type1,400
ooujl,type2,200
odqqi,type2,200
vwpap,type1,400
drlkj,type2,200
jpjlx,type1,400
jpjlx,type2,200
ddwcs,type2,200
cexfv,type2,200
clqoj,type1,400
bexsc,type2,200
bdyql,type2,200
qjcsl,type1,400
nqixf,type1,400
otftk,type1,400
iicby,type2,200
yjgjp,type2,200
akjrh,type2,200
dhxyn,type2,200
fkjii,type1,400
hcgft,type2,200
bqour,type1,400
alaxg,type2,200
iyspw,type2,200
rlaid,type1,400
rlaid,type2,200
ydvpu,type1,400
ydvpu,type2,200
pnskr,type2,200
rdumi,type1,400
vpkph,type1,400
vpkph,type2,200
dvuut,type2,200
yjgny,type1,400
yjgny,type2,200
ldimj,type2,200
lixlf,type2,200
dlghx,type2,200
lpldw,type1,400
oegkv,type1,400
hssym,type1,400
ticol,type2,200
aojks,type2,200
udxpx,type2,200
xpcwp,type1,400
mnpvp,type2,200
xxwwy,type2,200
egahf,type2,200
ewyid,type2,200
sdbgp,type2,200
hmkry,type2,200
bvauq,type2,200
sjcnl,type1,400
rqvdr,type2,200
uhxnk,type2,200
navgb,type1,400
ycaci,type1,400
hpkqh,type1,400
hpkqh,type2,200
pskeg,type1,400
gavta,type2,200
plwdp,type2,200
hntyx,type1,400
pchwt,type2,200
vnbfk,type2,200
wxfrb,type1,400
wxfrb,type2,200
wbbvx,type2,200
nfpuj,type2,200
naror,type2,200
yganu,type2,200
jjojn,type2,200
yasrg,type2,200
afupu,type1,400
afupu,type2,200
hrmad,type1,400
nbmtw,type1,400
urcbx,type1,400
urcbx,type2,200
ebndj,type2,200
gidbq,type1,400
xhmcb,type2,200
hjhjw,type2,200
xqonp,type1,400
irqgc,type1,400
rneso,type2,200
